rank,feature,importance,share_pct
1,group_difficulty,0.20022201390735897,20.02
2,avg_discipline_difficulty,0.09891900754289616,9.89
3,avg_score,0.08260131382209092,8.26
4,n_debts,0.07626964981899882,7.63
5,prev_avg_score,0.05905333999656174,5.91
6,n_neyavka,0.05202452672771928,5.2
7,specialty_difficulty,0.05066846119495972,5.07
8,n_udovl,0.04925080995133814,4.93
9,score_trend,0.04760674324809942,4.76
10,semester_number,0.04507782839911136,4.51
11,n_records,0.036012366879470646,3.6
12,n_distinct_disciplines,0.03426238066094058,3.43
13,n_horosho,0.03387720573539128,3.39
14,n_otlichno,0.031462923710211865,3.15
15,n_zachteno,0.02142942500540008,2.14
16,n_zachet_rows,0.02044056475954623,2.04
17,share_zachteno,0.019056876908552654,1.91
18,n_nezachteno,0.014141376536846561,1.41
19,n_retake_rows_in_semester,0.011458180856313237,1.15
20,n_neudovl,0.008446353592817504,0.84
21,has_retake_in_semester,0.007718650745374954,0.77
